slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side,mask
3,6,Hu10_z6_7,189.032761,62.143970,0,0,0.001000,1.000000,2000,TARGET,7629.184137,10151.821434,A,2020A_1
2,4,f_3,188.910191,62.352588,0,0,0.001000,1.000000,2000,STANDARD,6841.397951,9364.381562,A,2020A_1
1,3,f_2,188.902346,62.363999,0,0,0.001000,1.000000,2000,STANDARD,6797.170757,9320.174983,A,2020A_1
1,5,Hu10_z6_12,189.320312,62.233444,0,0,0.001000,1.000000,2000,TARGET,7444.774877,9967.486824,B,2020A_1
3,8,Stark11_34_24923,189.284531,62.287498,0,0,0.001000,1.000000,2000,TARGET,7664.627169,10187.243059,B,2020A_1
4,10,Stark11_24_28120,189.321457,62.290100,0,0,0.001000,1.000000,2000,TARGET,7552.062104,10074.728572,B,2020A_1
6,13,Hu10_z7_2,189.356888,62.295319,0,0,0.001000,1.000000,2000,TARGET,7449.739022,9972.451764,B,2020A_1
5,11,Stark11_24_26902,189.307617,62.323444,0,0,0.001000,1.000000,2000,TARGET,7664.948467,10187.567477,B,2020A_1
2,2,f_1,189.462416,62.363585,0,0,0.001000,1.000000,2000,STANDARD,6913.536511,9436.487893,B,2020A_2
1,1,f_0,189.453601,62.369844,0,0,0.001000,1.000000,2000,STANDARD,6871.228510,9394.198333,B,2020A_2
3,5,Hu10_z6_6,189.324554,62.299732,0,0,0.001000,1.000000,2000,TARGET,7411.118002,9933.845031,B,2020A_2
4,7,Jung18_z7_GND_10402,189.179276,62.275894,0,0,0.001000,1.000000,2000,TARGET,7634.036451,10156.665533,B,2020A_2
2,2,f_1,189.462416,62.363585,0,0,0.001000,1.000000,2000,STANDARD,7330.799680,9853.570196,B,2020A_3
1,1,f_0,189.453601,62.369844,0,0,0.001000,1.000000,2000,STANDARD,7368.566188,9891.320664,B,2020A_3
2,4,f_3,188.910191,62.352588,0,0,0.001000,1.000000,2000,STANDARD,7036.745254,9559.638787,A,2020A_4
1,3,f_2,188.902346,62.363999,0,0,0.001000,1.000000,2000,STANDARD,6968.799027,9491.722902,A,2020A_4
1,5,Stark11_33_19990,189.231018,62.252335,0,0,0.001000,1.000000,2000,TARGET,7496.269536,10018.958613,B,2020A_4
4,8,3DHST_19140,189.183655,62.236137,0,0,0.001000,2.000000,2000,TARGET,7558.674937,10081.336269,B,2020A_4
3,7,3DHST_18608,189.208710,62.233650,0,0,0.001000,2.000000,2000,TARGET,7480.043996,10002.740258,B,2020A_4
9,36,z6_GNW_10822,188.995300,62.171459,0,0,0.001000,3.000000,2000,TARGET,7451.875564,9974.589140,A,2020A_1
4,17,z5_GNW_10084,189.057281,62.166943,0,0,0.001000,3.000000,2000,TARGET,7659.489008,10182.109868,A,2020A_1
7,33,z5_GNW_11324,189.068375,62.174931,0,0,0.001000,3.000000,2000,TARGET,7678.594107,10201.205585,A,2020A_1
10,37,z6_GNW_14478,189.001450,62.194984,0,0,0.001000,3.000000,2000,TARGET,7423.743840,9946.467765,A,2020A_1
5,18,z5_GNW_15423,188.979294,62.201313,0,0,0.001000,3.000000,2000,TARGET,7340.069948,9862.830845,A,2020A_1
14,41,z6_GNW_16088,188.953293,62.207077,0,0,0.001000,3.000000,2000,TARGET,7245.204550,9768.007484,A,2020A_1
8,35,z6_GNW_16141,189.019241,62.207722,0,0,0.001000,3.000000,2000,TARGET,7455.468659,9978.177450,A,2020A_1
12,39,z6_GNW_16618,188.995880,62.212585,0,0,0.001000,3.000000,2000,TARGET,7370.973465,9893.719744,A,2020A_1
20,94,z7_GNW_17001,189.032486,62.216415,0,0,0.001000,3.000000,2000,TARGET,7480.930735,10003.627636,A,2020A_1
16,67,z6_GND_22789,189.057785,62.239265,0,0,0.001000,3.000000,2000,TARGET,7518.354118,10041.033471,A,2020A_1
15,66,z6_GND_22665,189.119446,62.239944,0,0,0.001000,3.000000,2000,TARGET,7715.131881,10237.723533,A,2020A_1
18,91,z7_GND_16759,189.079834,62.256454,0,0,0.001000,3.000000,2000,TARGET,7557.170779,10079.832670,A,2020A_1
6,21,z5_GND_15562,189.106384,62.259712,0,0,0.001000,3.000000,2000,TARGET,7636.568849,10159.195439,A,2020A_1
19,92,z7_GND_10568,189.139160,62.275288,0,0,0.001000,3.000000,2000,TARGET,7713.873165,10236.465730,A,2020A_1
16,29,z6_GNW_4311,189.178604,62.132816,0,0,0.001000,3.000000,2000,TARGET,7728.149702,10250.742081,B,2020A_1
21,45,z6_GND_3883,189.303238,62.178509,0,0,0.001000,3.000000,2000,TARGET,7399.666515,9922.399783,B,2020A_1
22,46,z6_GND_37114,189.276001,62.195805,0,0,0.001000,3.000000,2000,TARGET,7518.356252,10041.036072,B,2020A_1
35,77,z7_GND_34730,189.225845,62.204224,0,0,0.001000,3.000000,2000,TARGET,7695.302421,10217.903420,B,2020A_1
23,47,z6_GND_36192,189.293243,62.198696,0,0,0.001000,3.000000,2000,TARGET,7467.854750,9990.556868,B,2020A_1
32,74,z6_GND_35540,189.337234,62.201584,0,0,0.001000,3.000000,2000,TARGET,7331.090036,9853.852783,B,2020A_1
8,20,z5_GND_30190,189.248978,62.218365,0,0,0.001000,3.000000,2000,TARGET,7646.233321,10168.855710,B,2020A_1
24,48,z6_GND_25195,189.260529,62.232784,0,0,0.001000,3.000000,2000,TARGET,7635.671034,10158.297990,B,2020A_1
33,75,z6_GND_29625,189.403580,62.219875,0,0,0.001000,3.000000,2000,TARGET,7151.270034,9674.112574,B,2020A_1
18,42,z6_GND_28043,189.418427,62.224796,0,0,0.001000,3.000000,2000,TARGET,7112.860742,9635.720439,B,2020A_1
34,76,z7_GND_22525,189.372818,62.240372,0,0,0.001000,3.000000,2000,TARGET,7289.369476,9812.150805,B,2020A_1
19,43,z6_GND_20879,189.369308,62.244785,0,0,0.001000,3.000000,2000,TARGET,7309.170667,9831.943287,B,2020A_1
7,19,z6_GND_16819,189.328232,62.256317,0,0,0.001000,3.000000,2000,TARGET,7463.273705,9985.977946,B,2020A_1
36,82,z6_GND_11304,189.282639,62.272503,0,0,0.001000,3.000000,2000,TARGET,7640.884449,10163.510074,B,2020A_1
37,84,z6_GND_10245,189.277405,62.276409,0,0,0.001000,3.000000,2000,TARGET,7665.316084,10187.930992,B,2020A_1
26,53,z6_GND_8220,189.284531,62.287498,0,0,0.001000,3.000000,2000,TARGET,7664.627169,10187.243059,B,2020A_1
10,23,z6_GNW_25971,189.334732,62.286125,0,0,0.001000,3.000000,2000,TARGET,7501.663072,10024.351809,B,2020A_1
20,44,z6_GNW_25620,189.321457,62.290100,0,0,0.001000,3.000000,2000,TARGET,7552.062104,10074.728572,B,2020A_1
29,70,z7_GNW_24443,189.356888,62.295319,0,0,0.001000,3.000000,2000,TARGET,7449.739022,9972.451764,B,2020A_1
17,30,z6_GNW_22555,189.301788,62.307808,0,0,0.001000,3.000000,2000,TARGET,7650.926578,10173.550253,B,2020A_1
9,22,z6_GNW_25538,189.481949,62.288136,0,0,0.001000,3.000000,2000,TARGET,7036.062727,9558.960314,B,2020A_1
31,72,z7_GNW_22375,189.342590,62.308517,0,0,0.001000,3.000000,2000,TARGET,7522.546436,10045.227772,B,2020A_1
15,28,z6_GNW_20152,189.307617,62.323444,0,0,0.001000,3.000000,2000,TARGET,7664.948467,10187.567477,B,2020A_1
13,26,z6_GNW_22717,189.416199,62.333141,0,0,0.001000,3.000000,2000,TARGET,7341.013951,9863.779883,B,2020A_1
4,27,z6_GNW_11543,189.157440,62.176498,0,0,0.001000,3.000000,2000,TARGET,7475.501130,9998.200754,A,2020A_2
6,29,z6_GND_36553,189.156387,62.197773,0,0,0.001000,3.000000,2000,TARGET,7626.775636,10149.408097,A,2020A_2
2,15,z5_GNW_12024,189.142960,62.179790,0,0,0.001000,3.000000,2000,TARGET,7494.862339,10017.553777,A,2020A_2
7,30,z6_GND_32408,189.139297,62.211319,0,0,0.001000,3.000000,2000,TARGET,7718.535149,10241.127384,A,2020A_2
3,16,z6_GNW_14511,189.100571,62.195335,0,0,0.001000,3.000000,2000,TARGET,7594.492322,10117.141072,A,2020A_2
1,14,z6_GNW_7317,189.069244,62.150181,0,0,0.001000,3.000000,2000,TARGET,7264.475200,9787.271768,A,2020A_2
13,35,z7_GNW_28182,189.510132,62.274639,0,0,0.001000,3.000000,2000,TARGET,7536.735795,10059.413098,B,2020A_2
7,13,z6_GNW_23350,189.414474,62.333523,0,0,0.001000,3.000000,2000,TARGET,7142.014293,9664.862607,B,2020A_2
5,11,z6_GNW_23437,189.388000,62.301167,0,0,0.001000,3.000000,2000,TARGET,7380.662535,9903.404143,B,2020A_2
14,36,z7_GNW_24671,189.361710,62.294373,0,0,0.001000,3.000000,2000,TARGET,7437.193540,9959.909471,B,2020A_2
15,37,z7_GNW_23360,189.358093,62.302467,0,0,0.001000,3.000000,2000,TARGET,7380.701413,9903.442389,B,2020A_2
22,50,z7_GNW_23360,189.358093,62.302467,0,0,0.001000,3.000000,2000,TARGET,7380.701413,9903.442389,B,2020A_2
6,12,z5_GNW_22336,189.341263,62.309196,0,0,0.001000,3.000000,2000,TARGET,7338.216885,9860.976505,B,2020A_2
8,22,z6_GND_11494,189.288666,62.271809,0,0,0.001000,3.000000,2000,TARGET,7621.959390,10144.592451,B,2020A_2
9,23,z6_GND_8934,189.254196,62.282974,0,0,0.001000,3.000000,2000,TARGET,7554.939857,10077.602874,B,2020A_2
18,45,z7_GND_43678,189.235199,62.295593,0,0,0.001000,3.000000,2000,TARGET,7472.345908,9995.045917,B,2020A_2
16,43,z7_GND_11401,189.186600,62.270905,0,0,0.001000,3.000000,2000,TARGET,7666.501086,10189.115507,B,2020A_2
12,26,z6_GND_43125,189.189148,62.300659,0,0,0.001000,3.000000,2000,TARGET,7454.276441,9976.985410,B,2020A_2
17,44,z6_GND_44831,189.175140,62.282261,0,0,0.001000,3.000000,2000,TARGET,7590.527600,10113.176195,B,2020A_2
11,25,z6_GND_10131,189.169647,62.277069,0,0,0.001000,3.000000,2000,TARGET,7629.604803,10152.236132,B,2020A_2
9,20,z7_GNW_11595,188.965240,62.176491,0,0,0.001000,3.000000,2000,TARGET,7093.469899,9616.344545,A,2020A_3
1,9,z6_GNW_15180,188.962036,62.199577,0,0,0.001000,3.000000,2000,TARGET,7052.265262,9575.155781,A,2020A_3
2,10,z6_GNW_16070,188.954025,62.206898,0,0,0.001000,3.000000,2000,TARGET,7016.455557,9539.361399,A,2020A_3
4,15,z6_GND_36607,189.155594,62.197659,0,0,0.001000,3.000000,2000,TARGET,7690.454190,10213.059627,A,2020A_3
5,16,z6_GND_31259,189.128204,62.214882,0,0,0.001000,3.000000,2000,TARGET,7578.685950,10101.340030,A,2020A_3
7,18,z6_GND_28182,189.114838,62.224430,0,0,0.001000,3.000000,2000,TARGET,7522.982141,10045.660511,A,2020A_3
8,19,z6_GND_20167,189.134628,62.247040,0,0,0.001000,3.000000,2000,TARGET,7560.879747,10083.540290,A,2020A_3
14,28,z7_GND_15642,189.151978,62.259640,0,0,0.001000,3.000000,2000,TARGET,7603.340458,10125.981850,A,2020A_3
10,24,z5_GND_13996,189.162186,62.263817,0,0,0.001000,3.000000,2000,TARGET,7632.146843,10154.775378,A,2020A_3
3,14,z5_GND_10574,189.175613,62.275261,0,0,0.001000,3.000000,2000,TARGET,7663.542464,10186.157054,A,2020A_3
11,25,z7_GND_42808,189.188400,62.303051,0,0,0.001000,3.000000,2000,TARGET,7676.075962,10198.685706,A,2020A_3
12,26,z7_GND_41647,189.178131,62.310635,0,0,0.001000,3.000000,2000,TARGET,7634.598848,10157.227363,A,2020A_3
8,12,z6_GND_31100,189.111649,62.215378,0,0,0.001000,3.000000,2000,TARGET,7672.650548,10195.262507,B,2020A_4
9,13,z6_GND_27273,189.197571,62.226986,0,0,0.001000,3.000000,2000,TARGET,7483.266731,10005.961690,B,2020A_4
5,9,z6_GND_22283,189.211411,62.241070,0,0,0.001000,3.000000,2000,TARGET,7503.119244,10025.805191,B,2020A_4
10,14,z6_GND_22278,189.240829,62.242634,0,0,0.001000,3.000000,2000,TARGET,7429.482876,9952.201617,B,2020A_4
6,10,z6_GND_18287,189.231018,62.252335,0,0,0.001000,3.000000,2000,TARGET,7496.269536,10018.958613,B,2020A_4
7,11,z6_GND_16399,189.234833,62.257507,0,0,0.001000,3.000000,2000,TARGET,7507.372186,10030.056413,B,2020A_4
28,136,z6_GNW_10897,188.976089,62.171894,0,0,0.001000,4.000000,2000,TARGET,7389.488394,9912.229936,A,2020A_1
25,130,z5_GNW_11226,189.048050,62.174236,0,0,0.001000,4.000000,2000,TARGET,7614.977853,10137.617934,A,2020A_1
26,133,z5_GNW_12482,189.079254,62.182869,0,0,0.001000,4.000000,2000,TARGET,7697.299647,10219.902022,A,2020A_1
32,140,z5_GNW_16472,188.951706,62.211136,0,0,0.001000,4.000000,2000,TARGET,7232.075125,9754.883642,A,2020A_1
34,209,z5_GND_29491,189.104431,62.220345,0,0,0.001000,4.000000,2000,TARGET,7704.126363,10226.723402,A,2020A_1
35,217,z5_GND_28693,189.106339,62.222816,0,0,0.001000,4.000000,2000,TARGET,7705.504701,10228.101038,A,2020A_1
36,218,z5_GND_27819,189.110336,62.225437,0,0,0.001000,4.000000,2000,TARGET,7713.316238,10235.909005,A,2020A_1
39,229,z5_GND_21153,189.049622,62.244038,0,0,0.001000,4.000000,2000,TARGET,7483.142383,10005.837338,A,2020A_1
52,279,z8_GND_23069,189.109497,62.238792,0,0,0.001000,4.000000,2000,TARGET,7685.340256,10207.945196,A,2020A_1
38,228,z5_GND_21641,189.117630,62.244312,0,0,0.001000,4.000000,2000,TARGET,7701.141055,10223.738896,A,2020A_1
42,234,z5_GND_16723,189.060165,62.256508,0,0,0.001000,4.000000,2000,TARGET,7493.819543,10016.509627,A,2020A_1
40,232,z5_GND_17105,189.118622,62.255566,0,0,0.001000,4.000000,2000,TARGET,7683.516130,10206.121809,A,2020A_1
44,236,z5_GND_45273,189.077911,62.273827,0,0,0.001000,4.000000,2000,TARGET,7519.330316,10042.009230,A,2020A_1
43,235,z5_GND_10084,189.140717,62.277237,0,0,0.001000,4.000000,2000,TARGET,7715.411056,10238.003003,A,2020A_1
45,237,z5_GND_42576,189.143311,62.304779,0,0,0.001000,4.000000,2000,TARGET,7675.655056,10198.266013,A,2020A_1
51,278,z7_GND_41546,189.159698,62.310566,0,0,0.001000,4.000000,2000,TARGET,7718.660709,10241.253050,A,2020A_1
59,115,z5_GNW_2919,189.203491,62.122383,0,0,0.001000,4.000000,2000,TARGET,7630.408388,10153.045168,B,2020A_1
60,116,z5_GNW_3424,189.208527,62.126209,0,0,0.001000,4.000000,2000,TARGET,7620.024028,10142.664871,B,2020A_1
113,248,z5_GND_464,189.270706,62.148418,0,0,0.001000,4.000000,2000,TARGET,7453.669566,9976.381243,B,2020A_1
81,158,z5_GND_1415,189.234848,62.160557,0,0,0.001000,4.000000,2000,TARGET,7590.521906,10113.172026,B,2020A_1
79,156,z5_GND_2126,189.247681,62.167103,0,0,0.001000,4.000000,2000,TARGET,7559.960842,10082.623932,B,2020A_1
82,160,z5_GND_3052,189.288742,62.173836,0,0,0.001000,4.000000,2000,TARGET,7438.449272,9961.165647,B,2020A_1
90,168,z5_GND_39635,189.215805,62.186470,0,0,0.001000,4.000000,2000,TARGET,7696.520609,10219.121937,B,2020A_1
86,164,z5_GND_39516,189.250916,62.187057,0,0,0.001000,4.000000,2000,TARGET,7583.965712,10106.616862,B,2020A_1
110,245,z6_GND_40374,189.317230,62.183056,0,0,0.001000,4.000000,2000,TARGET,7362.404276,9885.153814,B,2020A_1
88,166,z5_GND_38076,189.259857,62.192493,0,0,0.001000,4.000000,2000,TARGET,7564.631386,10087.290831,B,2020A_1
89,167,z5_GND_37378,189.261703,62.194908,0,0,0.001000,4.000000,2000,TARGET,7562.947345,10085.607427,B,2020A_1
92,173,z5_GND_35096,189.283508,62.203049,0,0,0.001000,4.000000,2000,TARGET,7507.118861,10029.803410,B,2020A_1
95,176,z5_GND_33500,189.261383,62.208023,0,0,0.001000,4.000000,2000,TARGET,7587.472364,10110.121093,B,2020A_1
98,182,z5_GND_27870,189.263809,62.225407,0,0,0.001000,4.000000,2000,TARGET,7611.428299,10134.066069,B,2020A_1
97,181,z5_GND_26806,189.273712,62.228466,0,0,0.001000,4.000000,2000,TARGET,7585.244817,10107.894217,B,2020A_1
68,145,z5_GND_24948,189.320312,62.233444,0,0,0.001000,4.000000,2000,TARGET,7444.774877,9967.486824,B,2020A_1
123,270,z7_GND_15396,189.275909,62.260303,0,0,0.001000,4.000000,2000,TARGET,7638.608646,10161.234771,B,2020A_1
105,191,z5_GND_12659,189.260620,62.268284,0,0,0.001000,4.000000,2000,TARGET,7703.048169,10225.645832,B,2020A_1
76,153,z5_GND_14131,189.315414,62.263824,0,0,0.001000,4.000000,2000,TARGET,7518.990999,10041.670669,B,2020A_1
106,196,z5_GND_10047,189.296280,62.277386,0,0,0.001000,4.000000,2000,TARGET,7606.935668,10129.576729,B,2020A_1
44,100,z5_GNW_26081,189.381042,62.285637,0,0,0.001000,4.000000,2000,TARGET,7352.890930,9875.646256,B,2020A_1
40,96,z5_GNW_28218,189.503250,62.273884,0,0,0.001000,4.000000,2000,TARGET,6938.431475,9461.371535,B,2020A_1
127,285,z8_GNW_21001,189.286987,62.318020,0,0,0.001000,4.000000,2000,TARGET,7719.162341,10241.756416,B,2020A_1
50,106,z5_GNW_22097,189.364624,62.310837,0,0,0.001000,4.000000,2000,TARGET,7457.288419,9979.999290,B,2020A_1
49,105,z5_GNW_21283,189.403549,62.315697,0,0,0.001000,4.000000,2000,TARGET,7343.758055,9866.520474,B,2020A_1
56,112,z5_GNW_21219,189.310135,62.330257,0,0,0.001000,4.000000,2000,TARGET,7671.338865,10193.955809,B,2020A_1
47,103,z5_GNW_20906,189.437683,62.318161,0,0,0.001000,4.000000,2000,TARGET,7240.519224,9763.328360,B,2020A_1
117,260,z7_GNW_19517,189.325821,62.334698,0,0,0.001000,4.000000,2000,TARGET,7631.022662,10153.658295,B,2020A_1
116,259,z8_GNW_27475,189.373810,62.336391,0,0,0.001000,4.000000,2000,TARGET,7482.474395,10005.177099,B,2020A_1
125,283,z8_GNW_27475,189.373810,62.336391,0,0,0.001000,4.000000,2000,TARGET,7482.474395,10005.177099,B,2020A_1
126,284,z8_GNW_30497,189.353027,62.347015,0,0,0.001000,4.000000,2000,TARGET,7571.377063,10094.041264,B,2020A_1
8,53,z5_GND_36668,189.376678,62.197426,0,0,0.001000,4.000000,2000,TARGET,7701.402253,10224.001451,A,2020A_2
41,180,z7_GND_38200,189.359146,62.192123,0,0,0.001000,4.000000,2000,TARGET,7656.576484,10179.195217,A,2020A_2
40,179,z7_GND_40057,189.339462,62.184780,0,0,0.001000,4.000000,2000,TARGET,7596.579100,10119.224155,A,2020A_2
25,100,z5_GND_3651,189.303589,62.177364,0,0,0.001000,4.000000,2000,TARGET,7530.102556,10052.776700,A,2020A_2
26,101,z5_GND_39799,189.299850,62.185833,0,0,0.001000,4.000000,2000,TARGET,7588.870226,10111.518164,A,2020A_2
32,107,z5_GND_35187,189.292587,62.202457,0,0,0.001000,4.000000,2000,TARGET,7704.271347,10226.867847,A,2020A_2
12,68,z5_GND_35084,189.278580,62.203220,0,0,0.001000,4.000000,2000,TARGET,7704.641606,10227.237881,A,2020A_2
33,108,z5_GND_35084,189.278580,62.203220,0,0,0.001000,4.000000,2000,TARGET,7704.641606,10227.237881,A,2020A_2
34,109,z5_GND_34379,189.249405,62.205284,0,0,0.001000,4.000000,2000,TARGET,7709.171028,10231.765324,A,2020A_2
28,103,z5_GND_39309,189.238617,62.187653,0,0,0.001000,4.000000,2000,TARGET,7580.185958,10102.837695,A,2020A_2
44,197,z8_GND_35384,189.231995,62.202343,0,0,0.001000,4.000000,2000,TARGET,7682.454230,10205.060533,A,2020A_2
9,65,z5_GNW_3433,189.205490,62.126289,0,0,0.001000,4.000000,2000,TARGET,7132.344885,9655.196096,A,2020A_2
35,113,z5_GND_34594,189.202988,62.204651,0,0,0.001000,4.000000,2000,TARGET,7689.594751,10212.198256,A,2020A_2
31,106,z5_GND_39523,189.186615,62.187000,0,0,0.001000,4.000000,2000,TARGET,7558.936201,10081.598077,A,2020A_2
29,104,z5_GND_40117,189.177521,62.184551,0,0,0.001000,4.000000,2000,TARGET,7538.758385,10061.429417,A,2020A_2
10,66,z6_GNW_8973,189.167801,62.160194,0,0,0.001000,4.000000,2000,TARGET,7362.333742,9885.083382,A,2020A_2
39,160,z6_GNW_9770,189.117615,62.164848,0,0,0.001000,4.000000,2000,TARGET,7381.409489,9904.152144,A,2020A_2
17,75,z5_GNW_10304,189.112167,62.168396,0,0,0.001000,4.000000,2000,TARGET,7405.286217,9928.018474,A,2020A_2
21,79,z5_GNW_13431,189.105881,62.188835,0,0,0.001000,4.000000,2000,TARGET,7549.469336,10072.137846,A,2020A_2
38,159,z5_GNW_5622,189.080841,62.141083,0,0,0.001000,4.000000,2000,TARGET,7202.286612,9725.110237,A,2020A_2
15,73,z5_GNW_9175,189.054169,62.161289,0,0,0.001000,4.000000,2000,TARGET,7340.328507,9863.092183,A,2020A_2
19,77,z5_GNW_11120,189.050674,62.173576,0,0,0.001000,4.000000,2000,TARGET,7427.332475,9950.057757,A,2020A_2
22,80,z5_GNW_13254,189.039703,62.187725,0,0,0.001000,4.000000,2000,TARGET,7526.014516,10048.696654,A,2020A_2
14,72,z5_GNW_6540,189.023026,62.146069,0,0,0.001000,4.000000,2000,TARGET,7224.645145,9747.461840,A,2020A_2
23,51,z5_GNW_27194,189.523804,62.278839,0,0,0.001000,4.000000,2000,TARGET,7503.516315,10026.209134,B,2020A_2
24,52,z5_GNW_25408,189.457428,62.289562,0,0,0.001000,4.000000,2000,TARGET,7443.572802,9966.288802,B,2020A_2
25,54,z5_GNW_30244,189.418915,62.259678,0,0,0.001000,4.000000,2000,TARGET,7667.189639,10189.804919,B,2020A_2
28,57,z5_GNW_22490,189.394882,62.308056,0,0,0.001000,4.000000,2000,TARGET,7329.486549,9852.251063,B,2020A_2
34,63,z5_GNW_28199,189.382797,62.337444,0,0,0.001000,4.000000,2000,TARGET,7123.642349,9646.498032,B,2020A_2
38,92,z5_GND_16389,189.360291,62.257557,0,0,0.001000,4.000000,2000,TARGET,7699.676580,10222.275834,B,2020A_2
62,158,z6_GNW_21823,189.355591,62.312592,0,0,0.001000,4.000000,2000,TARGET,7309.385549,9832.158185,B,2020A_2
40,94,z6_GND_13524,189.337402,62.266106,0,0,0.001000,4.000000,2000,TARGET,7646.127461,10168.750132,B,2020A_2
39,93,z5_GND_15025,189.324448,62.261330,0,0,0.001000,4.000000,2000,TARGET,7684.323476,10206.929005,B,2020A_2
26,55,z5_GNW_23799,189.324554,62.299732,0,0,0.001000,4.000000,2000,TARGET,7411.118002,9933.845031,B,2020A_2
41,95,z5_GND_15899,189.309113,62.258888,0,0,0.001000,4.000000,2000,TARGET,7706.793276,10229.388677,B,2020A_2
30,59,z5_GNW_21750,189.317093,62.313053,0,0,0.001000,4.000000,2000,TARGET,7318.817942,9841.585971,B,2020A_2
45,119,z5_GND_15601,189.296097,62.259697,0,0,0.001000,4.000000,2000,TARGET,7705.469653,10228.065574,B,2020A_2
44,118,z5_GND_16018,189.291290,62.258629,0,0,0.001000,4.000000,2000,TARGET,7714.714663,10237.306456,B,2020A_2
70,177,z7_GNW_21903,189.290756,62.311100,0,0,0.001000,4.000000,2000,TARGET,7341.827048,9864.584772,B,2020A_2
51,126,z5_GND_9333,189.277710,62.280643,0,0,0.001000,4.000000,2000,TARGET,7563.023340,10085.682636,B,2020A_2
71,178,z7_GNW_32502,189.285812,62.354965,0,0,0.001000,4.000000,2000,TARGET,7031.280417,9554.176377,B,2020A_2
52,127,z5_GND_44604,189.263397,62.285717,0,0,0.001000,4.000000,2000,TARGET,7532.094253,10054.767376,B,2020A_2
47,122,z5_GND_11789,189.243515,62.270794,0,0,0.001000,4.000000,2000,TARGET,7645.397680,10168.020513,B,2020A_2
37,70,z5_GNW_32117,189.257217,62.353569,0,0,0.001000,4.000000,2000,TARGET,7051.710690,9574.597781,B,2020A_2
48,123,z5_GND_12705,189.218094,62.268093,0,0,0.001000,4.000000,2000,TARGET,7674.149077,10196.759443,B,2020A_2
78,191,z7_GND_6161,189.215073,62.317932,0,0,0.001000,4.000000,2000,TARGET,7321.319442,9844.087082,B,2020A_2
58,133,z5_GND_7157,189.204910,62.298958,0,0,0.001000,4.000000,2000,TARGET,7460.103870,9982.809869,B,2020A_2
54,129,z5_GND_8641,189.196930,62.284508,0,0,0.001000,4.000000,2000,TARGET,7565.852788,10088.511829,B,2020A_2
74,187,z7_GND_10402,189.179276,62.275894,0,0,0.001000,4.000000,2000,TARGET,7634.036451,10156.665533,B,2020A_2
59,134,z5_GND_42189,189.165497,62.306877,0,0,0.001000,4.000000,2000,TARGET,7419.749240,9942.474287,B,2020A_2
60,155,z5_GND_13494,189.147812,62.265678,0,0,0.001000,4.000000,2000,TARGET,7719.428413,10242.020371,B,2020A_2
80,194,z7_GND_45190,189.138504,62.275600,0,0,0.001000,4.000000,2000,TARGET,7652.979155,10175.601090,B,2020A_2
15,37,z5_GNW_7248,189.089371,62.149796,0,0,0.001000,4.000000,2000,TARGET,7538.122875,10060.801946,A,2020A_3
20,42,z5_GNW_11071,188.972427,62.173115,0,0,0.001000,4.000000,2000,TARGET,7121.693773,9644.556209,A,2020A_3
