name 	ra 	dec 	mask 	priority
3DHST_Q_34419 	189.311828 	62.320264 	2020A_1 	1
3DHST_Q_12173 	189.022674 	62.201896 	2020A_2 	1
3DHST_Q_24238 	189.526264 	62.260638 	2020A_2 	1
3DHST_Q_32507 	189.418069 	62.305949 	2020A_2 	1
3DHST_Q_11004 	189.359313 	62.196221 	2020A_3 	1
3DHST_Q_1301 	189.208342 	62.130576 	2020A_4 	1
3DHST_Q_9056 	189.056217 	62.188475 	2020A_4 	1
3DHST_Q_28451 	189.247715 	62.282931 	2020A_4 	1
3DHST_Q_14945 	189.359384 	62.215357 	2020A_1 	2
3DHST_Q_34630 	189.444194 	62.321885 	2020A_1 	2
3DHST_Q_10145 	189.352801 	62.192151 	2020A_2 	2
3DHST_Q_26422 	189.551610 	62.271284 	2020A_2 	2
3DHST_Q_27600 	189.077863 	62.278531 	2020A_2 	2
3DHST_Q_33464 	189.404720 	62.312932 	2020A_3 	2
3DHST_Q_13041 	188.934519 	62.206753 	2020A_4 	2
3DHST_Q_35299 	189.360002 	62.329100 	2020A_4 	2